id,created_at,changed_at,user,batch,credits,state,type
29716,2025-03-27 23:59:21.156056+00:00,2025-04-03 07:24:10.839427+00:00,STUD84885,293,502,PAID,MONEY
29715,2025-03-27 21:32:22.006507+00:00,2025-04-03 07:24:10.940812+00:00,STUD61691,293,520,PAID,MONEY
29714,2025-03-27 21:21:45.226905+00:00,2025-04-03 07:24:11.039336+00:00,STUD74208,293,547,PAID,MONEY
29713,2025-03-27 20:53:55.730090+00:00,2025-04-03 07:24:11.159253+00:00,STUD5767,293,505,PAID,MONEY
29712,2025-03-27 20:28:37.804893+00:00,2025-04-03 07:24:11.305872+00:00,STUD83419,293,512,PAID,MONEY
29711,2025-03-27 20:14:19.738278+00:00,2025-04-03 07:24:11.419295+00:00,STUD42942,293,512,PAID,MONEY
29710,2025-03-27 19:45:23.797398+00:00,2025-04-03 07:24:11.513046+00:00,STUD69457,293,537,PAID,MONEY
29709,2025-03-27 19:37:35.483920+00:00,2025-04-03 07:24:11.613422+00:00,STUD19861,293,502,PAID,MONEY
29708,2025-03-27 19:32:34.415821+00:00,2025-04-03 07:24:11.713911+00:00,STUD60664,293,521,PAID,MONEY
29707,2025-03-27 19:02:49.192148+00:00,2025-04-02 08:26:28.255737+00:00,STUD19585,None,612,APPROVED,HANDIPET
29706,2025-03-27 18:43:54.163274+00:00,2025-04-03 07:24:11.808729+00:00,STUD70651,293,539,PAID,MONEY
29705,2025-03-27 18:18:37.160425+00:00,2025-04-03 07:24:11.900158+00:00,STUD93853,293,500,PAID,MONEY
29704,2025-03-27 18:06:43.834713+00:00,2025-04-03 07:24:12.015978+00:00,STUD8325,293,502,PAID,MONEY
29703,2025-03-27 18:03:14.904608+00:00,2025-04-03 07:24:12.121453+00:00,STUD10300,293,505,PAID,MONEY
29702,2025-03-27 17:59:02.570924+00:00,2025-04-03 09:08:09.353113+00:00,STUD33381,None,504,PAID,MONEY
29701,2025-03-27 17:58:37.678035+00:00,2025-04-03 07:24:12.222176+00:00,STUD57662,293,500,PAID,MONEY
29700,2025-03-27 17:51:05.416867+00:00,2025-04-03 07:24:12.339125+00:00,STUD6787,293,503,PAID,MONEY
29699,2025-03-27 17:45:23.237706+00:00,2025-04-03 07:24:12.447338+00:00,STUD95394,293,504,PAID,MONEY
29698,2025-03-27 17:07:26.092827+00:00,2025-04-03 07:24:12.566991+00:00,STUD85119,293,512,PAID,MONEY
29697,2025-03-27 16:58:21.021615+00:00,2025-04-03 07:24:12.688550+00:00,STUD25739,293,520,PAID,MONEY
29696,2025-03-27 16:55:56.357455+00:00,2025-04-03 07:24:12.812762+00:00,STUD77337,293,505,PAID,MONEY
29695,2025-03-27 16:54:51.748311+00:00,2025-04-03 07:24:12.944235+00:00,STUD27971,293,516,PAID,MONEY
29694,2025-03-27 16:51:57.852264+00:00,2025-04-03 07:24:13.064764+00:00,STUD44953,293,1009,PAID,MONEY
29693,2025-03-27 16:36:20.393723+00:00,2025-04-04 09:26:50.645276+00:00,STUD21052,293,509,PAID,MONEY
29692,2025-03-27 16:33:58.930185+00:00,2025-04-03 07:24:13.273591+00:00,STUD69381,293,500,PAID,MONEY
29691,2025-03-27 16:33:53.243436+00:00,2025-04-03 07:24:13.368888+00:00,STUD26996,293,510,PAID,MONEY
29690,2025-03-27 16:27:48.421046+00:00,2025-04-03 07:24:13.491189+00:00,STUD59544,293,505,PAID,MONEY
29689,2025-03-27 16:23:20.645404+00:00,2025-04-03 07:24:13.611031+00:00,STUD60233,293,511,PAID,MONEY
29688,2025-03-27 16:23:18.046759+00:00,2025-04-03 07:24:13.738598+00:00,STUD85057,293,504,PAID,MONEY
29687,2025-03-27 16:17:06.327073+00:00,2025-04-03 07:24:13.865599+00:00,STUD10480,293,1002,PAID,MONEY
29686,2025-03-27 16:13:12.760228+00:00,2025-04-03 07:24:13.978017+00:00,STUD62953,293,501,PAID,MONEY
29685,2025-03-27 15:51:20.534691+00:00,2025-04-03 07:24:14.079604+00:00,STUD36068,293,835,PAID,MONEY
