iter	Accuracy	CrossEntropy
440	0.9633401222	0.1404277693
441	0.9633401222	0.140219894
442	0.9636601688	0.139919474
443	0.9638638347	0.1396978323
444	0.9639511202	0.1395221581
445	0.9639511202	0.1394054543
446	0.9640965959	0.1392500687
447	0.9641547862	0.1390616371
448	0.9641838813	0.1387613228
449	0.9641547862	0.1386040491
450	0.9643584521	0.1383692336
451	0.9645621181	0.1380707169
452	0.964533023	0.1378989845
453	0.9647948793	0.1375753891
454	0.9648239744	0.1374010784
455	0.9648239744	0.13705188
456	0.9650567355	0.1368127585
457	0.9650858307	0.1365298966
458	0.9651731161	0.1363971837
459	0.9652022112	0.1361549909
460	0.9654058772	0.1359143335
461	0.9654931626	0.1356481388
462	0.9657259238	0.1354099875
463	0.9658713995	0.1352884373
464	0.96598778	0.1349890454
465	0.9662496363	0.1346856642
466	0.9663369217	0.1344794696
467	0.9665405877	0.1342770946
468	0.9666860634	0.133972234
469	0.966802444	0.1336963084
470	0.9669188246	0.1335035021
471	0.9670352051	0.1332580179
472	0.9668897294	0.1330853702
473	0.9670933954	0.1327970002
474	0.9672388711	0.1326972411
475	0.9674425371	0.1325574607
476	0.9674425371	0.1322513537
477	0.9676752982	0.1320299785
478	0.9677334885	0.1318095401
479	0.9679080594	0.1316441354
480	0.9678498691	0.1313512761
481	0.9678498691	0.1311845679
482	0.9679662496	0.1310002327
483	0.9680826302	0.1308557361
484	0.9682862962	0.1306151643
485	0.9683735816	0.130370895
486	0.9684317719	0.1302456503
487	0.9685772476	0.1300416999
488	0.9687518184	0.1297083515
489	0.9690136747	0.1295249154
490	0.969071865	0.1293917887
491	0.9691882456	0.1291660319
492	0.9692464358	0.129064376
493	0.9693337213	0.128859885
494	0.9695955775	0.1286000442
495	0.9697119581	0.1283676773
496	0.9697119581	0.1280935976
497	0.9696537678	0.127985395
498	0.9697410532	0.1278479764
499	0.9700320047	0.1276088679
500	0.9700029095	0.1275211755
501	0.9701774804	0.1272429202
502	0.9702938609	0.1270938482
503	0.9703811463	0.1268783016
504	0.9704393366	0.1265860135
505	0.9706430026	0.1263632033
506	0.9706720978	0.1261411393
507	0.9707884783	0.1260385553
508	0.970933954	0.125792759
509	0.9711085249	0.1255441438
510	0.9712830957	0.1253230341
511	0.9716613326	0.1250650747
512	0.9716613326	0.124806742
513	0.9717777131	0.1246462161
514	0.971952284	0.1244081744
515	0.9720395694	0.1242079055
516	0.9721268548	0.1239528291
517	0.9720977597	0.1238165185
518	0.9723887111	0.1235495714
519	0.9723887111	0.1233536754
520	0.9727087576	0.1231610415
521	0.9727669479	0.1230127429
522	0.9729415188	0.1229182129
523	0.9729706139	0.1227608784
524	0.972999709	0.1226565833
525	0.9730288042	0.1224805665
526	0.973203375	0.1222575935
527	0.9732615653	0.1220951808
528	0.9732906605	0.1219681053
529	0.9733488507	0.1218108635
530	0.973610707	0.1214992476
531	0.9738434681	0.1213509334
532	0.9739307536	0.1211603868
533	0.9739889438	0.1210092047
534	0.9741344196	0.1207738176
535	0.9740762293	0.1205943656
536	0.9741344196	0.1204585561
537	0.9743089904	0.120180588
