table_source,attibute,description,question,,,,,,,
PAYMENTS,id,,,,,,,,,
,created_at,,,,,,,,,Don't use in model
,changed_at,,,,,,,,,Use in model
,user,,,,,,,,,Don't understand
,batch,,,,,,,,,
,credits_x,,,,,,,,,
,state,,,,,,,,,
,type,,,,,,,,,
CREDITS,credits_y,,,,,,,,,
,is_active,,,,,,,,,
,is_verified,,,,,,,,,
,is_locked,,,,,,,,,
,wage,,,,,,,,,
,user_id,,,,,,,,,
ATLAS CECHU,all_intro-2022,,,,,,,,,
,atlas_vzorek-2023,,,,,,,,,
,atlas_vzorek-2024,,,,,,,,,
,all_intro-trendaro_panel_all,,,,,,,,,
,sex-woman,,,,,,,,,
,sex-man,,,,,,,,,
,age-15_17,,,,,,,,,
,age-18_24,,,,,,,,,
,age-25_34,,,,,,,,,
,age-35_44,,,,,,,,,
,age-45_54,,,,,,,,,
,age-55_64,,,,,,,,,
,age-65_plus,,,,,,,,,
,income_situation_new-save_6months,,,,,,,,,
,income_situation_new-wealthy,,,,,,,,,
,savings-nic,,,,,,,,,
,execution-no,,,,,,,,,
,execution-in_danger,,,,,,,,,
,execution-has_yet,,,,,,,,,
,bank-business_account,,,,,,,,,
,bank-savings_account,,,,,,,,,
,banking-mortgage,,,,,,,,,
,banking-overdraft,,,,,,,,,
,banking-business_loan,,,,,,,,,
,banking-personal_loan,,,,,,,,,
,insurance-none,,,,,,,,,
,insurance-household_insurance,,,,,,,,,
,insurance-car_insurance,,,,,,,,,
,insurance-accident_insurance,,,,,,,,,
,insurance-life_insurance,,,,,,,,,
,insurance-travel_insurance,,,,,,,,,
,investments-building_savings,,,,,,,,,
,investments-savings_accounts,,,,,,,,,
,investments-retirement_savings,,,,,,,,,
,investments-funds_shares_commodities,,,,,,,,,
,investments-cryptocurrency,,,,,,,,,
,investments-real_estate,,,,,,,,,
,income-up_10k,,,,,,,,,
,income-11k_20k,,,,,,,,,
,income-21k_30k,,,,,,,,,
,income-over_30k,,,,,,,,,
,save-cannot,,,,,,,,,
,save-can,,,,,,,,,
,income_situation_new-save_3months,,,,,,,,,
,bank-current_account,,,,,,,,,
,majetek-up500k,,,,,,,,,
,majetek-up1mio,,,,,,,,,
